WhatYouWillDo,WorkingHoursDetails,SalaryRange,WorkingPatternDetails,Overview,JobProfileCategories,WorkingPattern,WYDDayToDayTasks,Title,MaximumHours,SalaryExperienced,Skills,SalaryStarter
"<p>
You'll deal with everything from budgeting and marketing to staff recruitment and building maintenance.
</p>
<p>
You'll be responsible for:
</p>
<ul>
    <li>setting budgets and forecasting income
    </li>
    <li>deciding business targets and marketing
    </li>
    <li>fire safety and building security
    </li>
    <li>licensing regulations as they relate to the hotel
    </li>
    <li>overseeing larger corporate bookings and events
    </li>
    <li>managing staffing and resources
    </li>
    <li>organising building maintenance
    </li>
    <li>dealing with customer complaints and comments
    </li>
    <li>in charge of health and safety, including environmental health
    </li>
</ul>
In larger hotels, department managers would report to you. These departments might include housekeeping, event management, human resources, catering and maintenance.<br />",a week,,flexibly,Hotel managers are in charge of the day-to-day running of a hotel.,"Managerial,Travel and tourism",evenings / weekends / bank holidays,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>setting budgets and forecasting income</li>
    <li>deciding business targets and marketing</li>
    <li>fire safety and building security</li>
    <li>licensing regulations as they relate to the hotel</li>
    <li>overseeing larger corporate bookings and events</li>
    <li>managing staffing and resources</li>
    <li>organising building maintenance</li>
    <li>dealing with customer complaints and comments</li>
    <li>in charge of health and safety, including environmental health</li>
</ul>",Hotel manager,42,60000,"<p>
You'll need:
</p>
<ul>
    <li>business, marketing and communication skills
    </li>
    <li>excellent customer service skills
    </li>
    <li>budgeting skills
    </li>
</ul>",20000
,a week,"£16,000 to £30,000 a year",occasionally,Satellite engineers install and repair telecoms equipment and satellite systems.,"Engineering and maintenance,Home services",on call,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>surveying a site to plan a job</li>
    <li>working out where cabling networks will go</li>
    <li>installing and fixing aerials or satellite dishes</li>
    <li>checking signal strength</li>
    <li>testing equipment and fixing faults</li>
    <li>calculating quotes to install new systems</li>
</ul>",Satellite engineer,41,30000,,16000
"<p>Your day-to-day duties may include:</p>
<ul>
    <li>teaching or coaching one-to-one or in groups</li>
    <li>planning and delivering sessions</li>
    <li>demonstrating swimming techniques, correcting faults and identifying ways to improve performance</li>
    <li><span style=""line-height: 1.4;"">making sure safety standards are followed</span></li>
    <li><span style=""line-height: 1.4;""></span><span style=""line-height: 1.4;"">checking life-saving equipment is in working order</span></li>
    <li><span style=""line-height: 1.4;""></span><span style=""line-height: 1.4;"">organising and supervising assistants and helpers</span></li>
    <li><span style=""line-height: 1.4;""></span><span style=""line-height: 1.5;"">offering basic first aid</span></li>
</ul>
<p>You&rsquo;ll also support your swimmers by attending events and competitions.</p>",variable,,as customers demand,"Swimming teachers help people learn to swim, improve their swimming skills and how to exercise in water.","Sports and leisure,Teaching and education",evenings / weekends / bank holidays,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>teaching or coaching one-to-one or in groups</li>
    <li>planning and delivering sessions</li>
    <li>demonstrating swimming techniques and correcting faults</li>
    <li>identifying ways to improve performance</li>
    <li>making sure safety standards are followed</li>
    <li>checking life-saving equipment is in working order</li>
    <li>organising and supervising assistants and helpers</li>
    <li>offering basic first aid</li>
</ul>",Swimming teacher,38,0,"<p>You&rsquo;ll need:</p>
<ul>
    <li>swimming ability</li>
    <li>perseverance and patience</li>
    <li>organisational skills</li>
    <li>the ability to encourage people and put them at ease</li>
</ul>",0
,a week,"£27,000 to £55,000 a year.",,"Robotics engineers design and build machines to do automated jobs in industries like manufacturing, aerospace and medicine.","Computing, technology and digital,Engineering and maintenance,Science and research",9am to 5pm,"<p>Your exact duties will depend on what part of a project you work on but may include:</p>
<ul>
    <li>understanding what customers want to automate</li>
    <li>designing processes and parts using computer aided design</li>
    <li>building and testing prototypes</li>
    <li>analysing data from robot sensors and cameras</li>
    <li>finding and fixing faults</li>
    <li>researching news ways to use robots and artificial intelligence</li>
    <li>demonstrating finished products to customers</li>
</ul>",Robotics engineer,40,55500,,27500
"You could work on one of the main types of farm &mdash; livestock (animals), arable (crops) or mixed (animals and crops).&nbsp;<br />
<br />
Your day-to-day tasks may include:<br />
<br />
<ul>
    <li>planning how the farm will run </li>
    <li>setting budget and production targets </li>
    <li>buying and selling animals or produce </li>
    <li>keeping financial and stock records </li>
    <li>recruiting, training and supervising staff</li>
</ul>
You may do practical farm work, like looking after livestock, driving tractors and other machinery, or harvesting crops. You may also have responsibility for other areas like a farm shop, horse riding facilities or tourist accommodation.",variable,,flexibly,Farmers and farm managers grow crops and raise livestock for food production.,"Animal care,Environment and land,Managerial",evenings / weekends / bank holidays,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>planning how the farm will run </li>
    <li>setting budget and production targets </li>
    <li>buying and selling animals or produce </li>
    <li>keeping financial and stock records </li>
    <li>recruiting, training and supervising staff</li>
</ul>",Farmer,41,50000,"<p>You&rsquo;ll need:</p>
<ul>
    <li><span style=""line-height: 1.5;"">business management skills</span><span style=""line-height: 1.5;""></span></li>
    <li><span style=""line-height: 1.5;"">t</span><span style=""line-height: 1.5;"">he ability to organise and motivate staff</span><span style=""line-height: 1.5;""></span></li>
    <li><span style=""line-height: 1.5;"">budgeting skills</span></li>
    <li><span style=""line-height: 1.4;"">the ability to find and develop new activities to keep the farm profitable</span></li>
</ul>",20000
,a week,"£18,000 to £35,000 a year",,Office managers oversee the day-to-day running of an office or department.,"Administration,Managerial",between 8am and 6pm,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>establishing policies and procedures for staff</li>
    <li>developing quality control processes</li>
    <li>carrying out staff appraisals and measuring performance</li>
    <li>dealing with disciplinary issues</li>
    <li>preparing reports and giving presentations to the senior management team</li>
    <li>managing the office budget</li>
    <li>supporting staff career development</li>
    <li>attending conferences and training events</li>
    <li>dealing with staff recruitment</li>
</ul>",Office manager,40,35000,,18000
"<p>You&rsquo;ll work with individuals and groups affected by sexual health issues in general and STIs (including HIV) in particular.&nbsp;<br />
<br />
Your day-to-day duties might include:</p>
<ul>
    <li>advising patients on precautions to take with current partners</li>
    <li>tracing and contacting previous partners who may have been exposed to the STI </li>
    <li>promoting good sexual health practices </li>
    <li>counselling patients </li>
    <li>teaching and training </li>
    <li>carrying out research </li>
    <li>
    compiling local statistics</li>
</ul>",a week,,on a rota,"Sexual health advisers provide information, advice and counselling about sexually transmitted infections (STIs).","Healthcare,Social care",evenings,"<p>Your day-to-day duties might include:</p>
<ul>
    <li>advising patients on precautions to take with current partners</li>
    <li>tracing and contacting previous partners who may have been exposed to the STI </li>
    <li>promoting good sexual health practices </li>
    <li>counselling patients </li>
    <li>teaching and training </li>
    <li>carrying out research </li>
    <li>compiling local statistics</li>
</ul>",Sexual health adviser,40,43750,"<p>You&rsquo;ll need:</p>
<ul>
    <li>excellent communication skills </li>
    <li>tact, empathy and a non-judgemental approach to care </li>
    <li>good organisational and time management skills </li>
    <li>the ability to network with a range of organisations </li>
    <li>project management skills </li>
    <li>good research and analytical skills</li>
</ul>",24250
,a week,"£13,500 to £30,000 a year",on shifts,"Engineering craft machinists use lathes, cutters and grinders to make parts used in manufacturing and engineering.","Engineering and maintenance,Manufacturing",between 8am and 6pm,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>choosing the correct machine tool for a particular job</li>
    <li>planning the work steps following engineering instructions</li>
    <li>setting tolerance levels on machines</li>
    <li>working out cutting speeds</li>
    <li>placing pre-formed parts in a lathe, or on the bed of a mill or grinder</li>
    <li>monitoring a job's progress</li>
    <li>checking the quality of finished items</li>
</ul>",Engineering craft machinist,44,30000,,13500
,a week,"£18,000 to £35,000 a year",on shifts,Electricity generation workers operate and maintain equipment in power stations.,Engineering and maintenance,evenings / weekends,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>operating machinery in a power plant, or running it remotely from a control room</li>
    <li>finding and fixing faults</li>
    <li>handling materials used to generate electricity</li>
    <li>testing equipment</li>
    <li>reacting to emergencies, for example shutting down a system</li>
</ul>",Electricity generation worker,42,35000,,18000
"<p>
As a food scientist, you'll:
</p>
<ul>
    <li>provide accurate nutritional information for food labelling
    </li>
    <li>investigate ways to keep food fresh, safe and attractive
    </li>
    <li>find ways to save time and money in food making
    </li>
    <li>test the safety and quality of food
    </li>
</ul>
<p>
As a food technologist, you'll:
</p>
<ul>
    <li>blend new ingredients to invent and modify recipes
    </li>
    <li>conduct experiments and produce sample products
    </li>
    <li>design production processes and machinery
    </li>
</ul>
<p>
You'll need to follow industry regulations.
</p>",a week,,on shifts,"Food scientists and food technologists develop food and drink products, making sure they are safe to consume.","Hospitality and food,Manufacturing,Science and research",evenings,"<p>As a food scientist, you'll:
</p>
<ul>
    <li>provide accurate nutritional information for food labelling</li>
    <li>investigate ways to keep food fresh, safe and attractive</li>
    <li>find ways to save time and money in food making</li>
    <li>test the safety and quality of food</li>
</ul>
<p>
As a food technologist, you'll:</p>
<ul>
    <li>blend new ingredients to invent and modify recipes</li>
    <li>conduct experiments and produce sample products</li>
    <li>design production processes and machinery</li>
</ul>",Food scientist,41,45000,"<p>
You'll need:
</p>
<ul>
    <li>analytical skills
    </li>
    <li>the ability to explain ideas to other scientists and production staff
    </li>
</ul>",20000
"<p>You may work for a local education authority, social services, or a voluntary organisation. You'll accompany passengers on journeys, usually in a mini-bus.</p>
<p>Your day-to-day tasks may include:</p>
<ul>
    <li>checking timetables for pick-ups</li>
    <li>talking to carers and families</li>
    <li>helping people to and from the vehicle</li>
    <li>securing passengers, wheelchairs and baggage</li>
    <li>dealing with emergencies</li>
    <li>supervising passengers at all times</li>
    <li>keeping the mini-bus tidy</li>
    <li>filling in paperwork</li>
</ul>
<p>
You'll need patience and an understanding of disability needs.</p>",variable,,on split shifts,"Community transport passenger assistants accompany elderly people or adults and children with disabilities, on local journeys.","Home services,Social care,Transport",between 8am and 6pm,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>checking timetables for pick-ups</li>
    <li>talking to carers and families</li>
    <li>helping people to and from the vehicle</li>
    <li>securing passengers, wheelchairs and baggage</li>
    <li>dealing with emergencies</li>
    <li>supervising passengers at all times</li>
    <li>keeping the mini-bus tidy</li>
    <li>filling in paperwork</li>
</ul>",Care escort,23,13000,"<p>
You'll need:
</p>
<ul>
    <li>excellent customer service skills
    </li>
    <li>first aid skills</li>
    <li>moving and handling skills</li>
</ul>",11000
"<p>Your day-to-day duties could include:</p>
<ul>
    <li>scanning items for customers </li>
    <li>weighing and pricing items like fruit and vegetables </li>
    <li>using special tools to remove security tags </li>
    <li>checking customers' ages for restrictions on items like alcohol </li>
    <li>packing and wrapping purchases </li>
    <li>processing store loyalty cards, coupons and vouchers </li>
    <li>taking payments and making sure the till balances at the end of the day</li>
</ul>
You&rsquo;ll need to work quickly so that customers in the queue don&rsquo;t have to wait too long.<br />
<br />
You may spend time away from the till, filling shelves, checking stock or working on a customer service desk.<br />
<br />",a week,,on shifts,Checkout operators serve customers at tills in supermarkets and large retail stores.,Retail and sales,evenings / weekends / bank holidays,"<p>Your day-to-day duties could include:</p>
<ul>
    <li>working quickly so that customers in the queue don't have to wait too long</li>
    <li>scanning items for customers </li>
    <li>weighing and pricing fruit and vegetables </li>
    <li>using special tools to remove security tags </li>
    <li>checking customers' ages for restrictions on items like alcohol </li>
    <li>packing and wrapping purchases </li>
    <li>processing store loyalty cards, coupons and vouchers </li>
    <li>taking payments and making sure the till balances at the end of the day</li>
    <li>spending time away from the till, filling shelves, checking stock or working on a customer service desk</li>
</ul>",Checkout operator,39,17000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>a polite and friendly manner</li>
    <li>the ability to use computerised tills, barcode scanners and electronic payment systems </li>
    <li>maths skills</li>
    <li>the ability to work quickly and accurately under pressure</li>
</ul>",11500
"<p>
You could work for an insurance company, a large company or a public sector organisation that has its own pension scheme. <br />
<br />
You'll act as a link between your company and scheme members, financial advisers, employers and the Department of Work and Pensions. <br />
<br />
Your day-to-day tasks may include:</p>
<ul>
    <li>answering queries by phone, letter and email
    </li>
    <li>using a computer system to check and update records
    </li>
    <li>calculating the amount of money people will receive
    </li>
    <li>processing money paid towards a person's pension
    </li>
    <li>transferring benefits from one pension to another
    </li>
    <li>arranging the payment of pensions
    </li>
    <li>keeping up to date with pension and tax laws
    </li>
</ul>",a week,,on shifts,Pensions administrators handle the day-to-day running of pension schemes and life insurance policies.,Business and finance,evenings / weekends,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>answering queries by phone, letter and email</li>
    <li>using a computer system to check and update records</li>
    <li>calculating the amount of money people will receive</li>
    <li>processing money paid towards a person's pension</li>
    <li>transferring benefits from one pension to another</li>
    <li>arranging the payment of pensions</li>
    <li>keeping up to date with pension and tax laws</li>
</ul>",Pensions administrator,39,30000,"<p>
You'll need:
</p>
<ul>
    <li>customer service skills
    </li>
    <li>the ability to explain finance to non-experts
    </li>
    <li>administrative and computer skills
    </li>
    <li>maths and analysis skills
    </li>
</ul>",15000
"<p>
You'll drive commercial vehicles over 7.5 tonnes, including articulated lorries, tankers, transporters and trailer wagons. You'll work from depots, distribution centres and warehouses, carrying goods all over the UK and overseas.</p>
<p>
Apart from driving, your duties may include:
</p>
<ul>
    <li>planning delivery schedules and routes with transport managers
    </li>
    <li>supervising or helping to load and unload goods
    </li>
    <li>making sure loads are safely secured
    </li>
    <li>following traffic reports and changing your route if necessary
    </li>
    <li>completing delivery paperwork and log books
    </li>
</ul>
<p>
You may also deal with basic maintenance, like oil, tyre and brake checks before and after journeys.
</p>",a week,,away from home,Large goods vehicle (LGV) and heavy goods vehicle (HGV) lorry drivers transport and deliver goods between suppliers and customers.,"Delivery and storage,Transport",evenings / weekends / bank holidays,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>planning delivery schedules and routes with transport managers</li>
    <li>supervising or helping to load and unload goods</li>
    <li>making sure loads are safely secured</li>
    <li>following traffic reports and changing your route if necessary</li>
    <li>completing delivery paperwork and log books</li>
</ul>",Large goods vehicle driver,52,35000,"<p>
You'll need:</p>
<ul>
    <li>excellent driving skills and road safety knowledge
    </li>
    <li>the ability to work alone and concentrate for long periods
    </li>
    <li>a polite manner with customers
    </li>
    <li>the ability to complete record sheets and paperwork accurately
    </li>
</ul>",18500
"<p>You could work for an independent estate agent or a chain. This could be online or in a high street agency.</p>
<p>Your day-to-day tasks may include:</p>
<ul>
    <li>visiting sellers and landlords to value properties</li>
    <li>arranging appointments and showing properties to buyers or renters</li>
    <li>getting feedback on viewings</li>
    <li>negotiating between buyers and sellers</li>
    <li>generating sales leads for mortgages and conveyancing</li>
    <li>managing auction sales</li>
    <li>working under pressure to meet sales targets</li>
    <li>updating computer records</li>
</ul>
<p>You'll usually be based in an office. If you're working for a high street agency, you'll also visit properties with potential buyers, sellers, renters and landlords.</p>",a week,"£15,000 to £40,000 a year",on a rota,"Estate agents sell and rent out commercial and residential property, acting as negotiators between buyers and sellers.",Retail and sales,weekends,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>visiting sellers and landlords to value properties</li>
    <li>arranging appointments and showing properties to buyers or renters</li>
    <li>getting feedback on viewings</li>
    <li>negotiating between buyers and sellers</li>
    <li>generating sales leads for mortgages and conveyancing</li>
    <li>managing auction sales</li>
    <li>working under pressure to meet sales targets</li>
    <li>updating computer records</li>
</ul>",Estate agent,40,40000,"<p>You'll need:</p>
<ul>
    <li>an interest and knowledge of property and the housing market</li>
    <li>excellent spoken and written communication skills</li>
    <li>negotiation and selling skills</li>
    <li>the ability to get on with people from all backgrounds</li>
    <li>the ability to work under pressure and meet sales targets</li>
    <li>organisational and administration skills</li>
    <li>numeracy and IT skills</li>
</ul>",15000
,a week,"£15,000 to £30,000 a year",,Sample machinists make samples of garments to show designers or customers how finished items will look.,"Creative and media,Manufacturing",9am to 5pm,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>checking all pattern pieces are present to start a job</li>
    <li>following fabric, colour and size instructions from the designer and pattern cutter</li>
    <li>using industrial machines like overlockers and binders</li>
    <li>stitching sections together and adding labels to them</li>
    <li>pressing the garment to give it a 'finished' appearance</li>
    <li>advising the design team about the best way to construct the sample</li>
    <li>discussing any 'tweaks' to the design instructions before the item goes into production</li>
    <li>carrying out quality control checks during a production run</li>
    <li>helping other machinists during busy periods</li>
    <li>working directly with customers who supply their own design details</li>
</ul>",Sample machinist,40,30000,,15000
"<p>You&rsquo;ll make sure food is safe and of a high quality by checking farms, businesses and food processing plants.<br />
<br />
You could work for agencies like:</p>
<ul>
    <li><a href=""http://www.hse.gov.uk/"">Health and Safety Executive</a> (HSE)</li>
    <li><a href=""https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs"">Department of Environment, Food and Rural Affairs</a> (DEFRA)</li>
    <li><span style=""line-height: 1.5;""><a href=""http://www.redtractor.org.uk/"">Assured Food Standards</a></span></li>
</ul>
<p>If you work for the HSE, you&rsquo;ll check occupational health and safety regulations are being followed.&nbsp;<br />
<br />
Your day-to-day duties could include:</p>
<ul>
    <li>checking machinery, buildings and the environment</li>
    <li>investigating accidents and complaints</li>
    <li>writing reports and making recommendations</li>
    <li>g<span style=""line-height: 1.5;"">iving evidence in court&nbsp;</span></li>
</ul>
<p>If you work for DEFRA, or an agency on behalf of DEFRA, like the Animal and Plant Health Agency (APHA), you&rsquo;ll make sure UK and EU laws are being followed.&nbsp;<br />
<br />
Your day-to-day duties could include:</p>
<ul>
    <li>collecting and analysing data</li>
    <li>checking record keeping on farms</li>
    <li>investigating animal welfare concerns</li>
    <li><span style=""line-height: 1.5;"">planning the control and prevention of animal and poultry disease</span></li>
</ul>
<p>If you&rsquo;re a food assurance scheme inspector, you&rsquo;ll check agricultural practice meets the Assured Food Standards, known as the Red Tractor scheme.<br />
<br />
Your day-to-day duties could include checking:</p>
<ul>
    <li>the health and welfare of livestock</li>
    <li>crop management and production methods</li>
    <li>the environmental impact of farming techniques</li>
    <li>animal feed</li>
    <li>livestock shelters are safe and the right size</li>
    <li>animal identification and veterinary treatments</li>
    <li>record keeping and documentation</li>
</ul>",a week,,away from home,Agricultural inspectors make sure animal welfare regulations are followed in farms and dairies.,"Animal care,Environment and land",evenings,"<p>For the Health and Safety Executive (HSE), your day-to-day duties could include:</p>
<ul>
    <li>checking machinery, buildings and the environment</li>
    <li>investigating accidents and complaints</li>
    <li>writing reports and making recommendations</li>
    <li>giving evidence in court&nbsp;</li>
</ul>
<p>For the Department of Environment, Food and Rural Affairs (DEFRA), your day-to-day duties could include:</p>
<ul>
    <li>collecting and analysing data</li>
    <li>checking record keeping on farms</li>
    <li>investigating animal welfare concerns</li>
    <li>planning the control and prevention of animal and poultry disease</li>
</ul>
<p>For food assurance inspection, your day-to-day duties could include checking:</p>
<ul>
    <li>the health and welfare of livestock</li>
    <li>crop management and production methods</li>
    <li>the environmental impact of farming techniques</li>
    <li>animal feed</li>
    <li>livestock shelters are safe and the right size</li>
    <li>animal identification and veterinary treatments</li>
    <li>record keeping and documentation</li>
</ul>",Agricultural inspector,40,50000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>observation and problem-solving skills</li>
    <li>tact and diplomacy</li>
    <li>IT skills</li>
</ul>",23000
"<p>
Your day-to-day tasks may include:
</p>
<ul>
    <li>carrying luggage
    </li>
    <li>answering queries about the hotel and making reservations
    </li>
    <li>arranging taxis and booking tickets
    </li>
    <li>running errands, such as picking up dry cleaning
    </li>
    <li>taking messages
    </li>
    <li>giving directions
    </li>
    <li>responding to safety and security issues
    </li>
</ul>",a week,,on split shifts,"Hotel porters welcome guests, carry their luggage and answer their questions.","Retail and sales,Sports and leisure,Travel and tourism",evenings / weekends / bank holidays,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>carrying luggage</li>
    <li>answering queries about the hotel and making reservations</li>
    <li>arranging taxis and booking tickets</li>
    <li>running errands, such as picking up dry cleaning</li>
    <li>taking messages</li>
    <li>giving directions</li>
    <li>responding to safety and security issues</li>
</ul>",Hotel porter,39,19000,You'll need excellent customer service skills.,14000
"<p>You might work for the police services, the armed forces or <a href=""https://www.gov.uk/government/organisations/hm-revenue-customs"">HM Revenue and Customs</a>.</p>
<p>
You could also be an analyst for:</p>
<ul>
    <li>Government Communications Headquarters
    (GCHQ)
    </li>
    <li>Security Service MI5</li>
    <li>Secret Intelligence Service MI6</li>
    <li><a href=""http://www.nationalcrimeagency.gov.uk/"">National Crime Agency</a> (NCA)</li>
</ul>
<p>You'll work in an office, but also travel to meetings or court hearings. You'll look at patterns of criminal activity and how they're linked, so you can provide information on:</p>
<ul>
    <li>reducing future offending</li>
    <li>how to target individuals and their networks</li>
    <li>tackling trends in particular crimes, for example fraud, drug smuggling or vehicle theft</li>
</ul>
<p>Your tasks may include:</p>
<ul>
    <li>collecting national and international data</li>
    <li>analysing data using specialist software</li>
    <li>building a picture of crime in an area by studying trends in data</li>
    <li>presenting your intelligence to managers and other agencies</li>
    <li>monitoring the behaviour of individuals or groups</li>
    <li>updating intelligence records on databases</li>
    <li>reviewing the effectiveness of your analysis</li>
    <li>acting as an expert witness in court</li>
    <li>keeping up-to-date on security and confidentiality rules</li>
</ul>
<p>
</p>
<p>Depending on your employer, you may need to work or live overseas.</p>
<p>You'll need to be prepared for the fact that you won't be able to talk about your work. In some roles, you may not be able to tell people who your employer is.</p>",a week,"£20,000 to £52,000 a year",at short notice,Criminal intelligence analysts use data to detect and prevent crime and protect UK security.,"Government services,Science and research",evenings / weekends / bank holidays,"<p>In this role you could be:</p>
<ul>
    <li>collecting national and international data</li>
    <li>analysing data using specialist software</li>
    <li>building a picture of crime in an area by studying trends in data</li>
    <li>presenting your intelligence to managers and other agencies</li>
    <li>monitoring the behaviour of individuals or groups</li>
    <li>updating intelligence records on databases</li>
    <li>reviewing the effectiveness of your analysis</li>
    <li>acting as an expert witness in court</li>
    <li>keeping up-to-date on security and confidentiality rules</li>
</ul>",Criminal intelligence analyst,40,52000,"<p>You'll need:</p>
<ul>
    <li>research and analytical skills to understand complex data</li>
    <li>communication skills for writing and presenting reports</li>
    <li>attention to detail and problem-solving skills</li>
    <li>IT skills for using databases, spreadsheets and specialist software</li>
    <li>the ability to build good relationships with people</li>
    <li>teamworking skills and the ability to work on your own</li>
    <li>organisational skills and the ability to work calmly under pressure</li>
</ul>",20000
"<p>You could work with a wide range of objects or specialise in a particular area, like jewellery, glass, furniture or china. </p>
<p>Your day-to-day tasks may include:</p>
<ul>
    <li><span style=""line-height: 1.5;"">buying items from salesrooms, auctions, markets, trade fairs and private owners</span></li>
    <li><span style=""line-height: 1.5;""></span><span style=""line-height: 1.5;"">selling items to the general public from shops or from stalls in antique centres</span></li>
    <li><span style=""line-height: 1.5;""></span><span style=""line-height: 1.5;"">negotiating purchases and sales</span></li>
    <li><span style=""line-height: 1.5;""></span><span style=""line-height: 1.5;"">buying and selling items online</span></li>
    <li><span style=""line-height: 1.5;""></span><span style=""line-height: 1.5;"">carrying out minor restoration work</span></li>
    <li><span style=""line-height: 1.5;""></span><span style=""line-height: 1.5;"">researching the identity and value of objects</span></li>
    <li><span style=""line-height: 1.5;""></span><span style=""line-height: 1.5;"">advising owners on the value of their antiques for insurance or sales purposes</span></li>
</ul>
<p><span style=""line-height: 1.5;""></span>You could also work from home, buying and selling to meet customer orders.</p>
<div>&nbsp;</div>",variable,,away from home,Antique dealers buy and sell old objects and collectors' items.,"Creative and media,Retail and sales",freelance / self-employed,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>buying items from salesrooms, auctions, markets, trade fairs and private owners</li>
    <li>selling items to the general public from shops or from stalls in antique centres</li>
    <li>negotiating purchases and sales</li>
    <li>buying and selling items online</li>
    <li>carrying out minor restoration work</li>
    <li>researching the identity and value of objects</li>
    <li>advising owners on the value of their antiques for insurance or sales purposes</li>
</ul>",Antique Dealer,41,0,"You'll need:<br />
<br />
<div> &bull; a willingness to research, study and learn from others </div>
<div> &bull; negotiating skills </div>
<div> &bull; the ability to spot saleable items </div>
<div> &bull; good judgement and the ability to make quick decisions </div>
&bull; business sense and a good sales technique",0
"<p>
Your day-to-day tasks may include:
</p>
<ul>
    <li>operating equipment to treat sewage
    </li>
    <li>cleaning and maintaining tanks and filters
    </li>
    <li>adding chemicals and microbes to treat water
    </li>
    <li>monitoring water and gas levels
    </li>
    <li>taking readings and keeping accurate records
    </li>
</ul>
<p>
You'll need to follow strict safety procedures.
</p>",a week,,on shifts,Water quality technicians treat and clean drinking water and process waste water.,"Engineering and maintenance,Environment and land",evenings / weekends / bank holidays,"<p>Your day-to-day tasks may include:</p>
<ul>
    <li>operating equipment to treat sewage</li>
    <li>cleaning and maintaining tanks and filters</li>
    <li>adding chemicals and microbes to treat water</li>
    <li>monitoring water and gas levels</li>
    <li>taking readings and keeping accurate records</li>
</ul>",Water treatment worker,44,32000,"<p>
You'll need:
</p>
<ul>
    <li>practical skills to operate equipment
    </li>
    <li>observational skills and attention to detail
    </li>
</ul>",14500
,a week,"£18,000 to £30,000 a year",on shifts,"Textile machinery technicians maintain, service and repair machinery used in textiles manufacturing.","Engineering and maintenance,Manufacturing",between 8am and 6pm,"<p>Your day-to-day duties may include:</p>
<ul>
    <li>preparing and setting up equipment for textile workers</li>
    <li>responding to breakdowns during a production run</li>
    <li>identifying and fixing faults on site</li>
    <li>reassembling and testing machinery to make sure it's safe to go back into production</li>
    <li>planning and carrying out maintenance</li>
    <li>reporting progress and problems to shift managers</li>
</ul>",Textile machinery technician,42,30000,,18000
"<p>Your day-to-day duties could include:</p>
<ul>
    <li>the day-to-day running of an estate</li>
    <li>maintaining accounts</li>
    <li>producing financial forecasts</li>
    <li>dealing with grant and subsidy applications</li>
    <li><span style=""line-height: 1.5;"">negotiating land access, with utility, mining or quarrying companies</span></li>
</ul>
<p>You might carry out valuations for clients, covering property, machinery, crops and livestock. Valuations are usually done for sale, insurance, taxation or compensation purposes.&nbsp;<br />
<br />
You&rsquo;ll arrange auctions of farm property, including the marketing and publicity, and conduct auctions on the day.<br />
<br />
You might create computer maps of the landscape, using geographical information systems (GIS), satellite imaging and precision measuring instruments.&nbsp;</p>",a week,,attending events or appointments,"Rural surveyors value the assets of farms and estates, advise clients on legal and tax issues, and plan and develop land use.","Construction and trades,Environment and land,Managerial",evenings / weekends,"<p>Your day-to-day duties could include:</p>
<ul>
    <li>the day-to-day running of an estate</li>
    <li>maintaining accounts</li>
    <li>producing financial forecasts</li>
    <li>dealing with grant and subsidy applications</li>
    <li>negotiating land access, with utility, mining or quarrying companies</li>
</ul>",Rural surveyor,40,45000,"<p>You&rsquo;ll need:</p>
<ul>
    <li>analytical skills</li>
    <li>IT skills</li>
    <li>a diplomatic approach</li>
    <li>excellent negotiating skills&nbsp;</li>
    <li>project management skills</li>
</ul>",20000
